헤브론스타국가코드,현지언어국가명,영문국가명,국가언어코드값,현지언어명,영문언어명,현지언어기업명,통화구분코드,화폐단위명,영문기업명,법인등록번호,사업자등록번호,현지언어산업군명,영문산업군명,설립일자,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,회계연도,회계분기,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,이자비용,기타영업외비용금액,영업이익손실금액,이자수익,기타영업외수익금액,법인세차감전순이익,당기순이익/손실금액,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업CAGR,기업 연수,기업 상태,기업추가정보값,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,AJAX,EUR,유로,AJAX,(NA)법인등록번호,(NA)사업자등록번호,"4050, Travel and Leisure","4050, Travel and Leisure",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AJAX,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,125.159천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,1.818천 유로,(NA) 기타영업외비용금액,-7.590천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,-8.105천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 12.30,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,AKZO NOBEL,EUR,유로,AKZO NOBEL,(NA)법인등록번호,(NA)사업자등록번호,"5520, Chemicals","5520, Chemicals",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AKZA,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,9.587.000천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,62.000천 유로,(NA) 기타영업외비용금액,1.118.000천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,865.000천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 79.08,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,ALFEN,EUR,유로,ALFEN,(NA)법인등록번호,(NA)사업자등록번호,"5020, Industrial Goods and Services","5020, Industrial Goods and Services",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ALFEN,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,249.679천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,992천 유로,(NA) 기타영업외비용금액,27.690천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,21.450천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 93.66,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,ALLFUNDS GROUP PLC,EUR,유로,ALLFUNDS GROUP PLC,(NA)법인등록번호,(NA)사업자등록번호,"3020, Financial Services","3020, Financial Services",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ALLFG,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,천 유로,(NA) 기타영업외비용금액,505.689천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,91.757천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 8.09,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,Almunda Professional N.V.,EUR,유로,Almunda Professional N.V.,(NA)법인등록번호,(NA)사업자등록번호,"5020, Industrial Goods and Services","5020, Industrial Goods and Services",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AMUND,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,0천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,천 유로,(NA) 기타영업외비용금액,13.517천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,1.554천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 1.24,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,ALUMEXX N.V.,EUR,유로,ALUMEXX N.V.,(NA)법인등록번호,(NA)사업자등록번호,"5520, Chemicals","5520, Chemicals",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ALX,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,6.661천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,7천 유로,(NA) 기타영업외비용금액,415천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,332천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 0.772,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,AMG ADVANCED METALLURGICAL GROUP,EUR,유로,AMG ADVANCED METALLURGICAL GROUP,(NA)법인등록번호,(NA)사업자등록번호,"5020, Industrial Goods and Services","5020, Industrial Goods and Services",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AMG,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,1.063.817천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,15.759천 유로,(NA) 기타영업외비용금액,50.460천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,12.168천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 31.78,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,Amsterdam Commodities,EUR,유로,Amsterdam Commodities,(NA)법인등록번호,(NA)사업자등록번호,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ACOMO,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,700.170천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,-4.176천 유로,(NA) 기타영업외비용금액,45.042천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,31.107천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 23.00,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,APERAM,EUR,유로,APERAM,(NA)법인등록번호,(NA)사업자등록번호,"5510, Basic Resources","5510, Basic Resources",(NA) 설립일자,"XAMS, XBRU, XPAR",EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,APAM,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,5.102.000천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,4.000천 유로,(NA) 기타영업외비용금액,1.042.000천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,969.000천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 36.04,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
NLD,Nederland,Nederlands,NL,Nederlands,Dutch,ARCADIS,EUR,유로,ARCADIS,(NA)법인등록번호,(NA)사업자등록번호,"5010, Construction and Materials","5010, Construction and Materials",(NA) 설립일자,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ARCAD,(NA) 상장일자,(NA) 회계연도,(NA) 회계분기,(NA) 유동자산금액,(NA) 비유동자산금액,(NA) 자산총계금액,(NA) 유동부채금액,(NA) 비유동부채금액,(NA) 부채총계금액,(NA) 자본총계금액,(NA) 부채자본총계금액,3.378.486천 유로,(NA) 매출원가금액,(NA) 판매비관리비금액,17.987천 유로,(NA) 기타영업외비용금액,225.929천 유로,(NA) 이자수입,(NA) 기타영업외수익금액,(계산예정)법인세차감전순이익,168.219천 유로,(NA) 영업활동현금흐름금액,(NA) 투자활동현금흐름금액,(NA) 재무활동현금흐름금액,(NA) 기초현금자산금액,(NA) 기말현금자산금액,(NA) 부채비율,(계산예정)영업이익율,(계산예정)매출액증가율,(계산예정)영업이익증가율,(계산예정)당기순이익 증가율,(계산예정)기업CAGR,(계산예정)기업 연수,(계산예정)기업 상태,주당가치: 35.80,(NA) 작업구분코드,(NA) 데이터생성일자,(NA) 연계처리상태코드,(NA) 연계처리일자
