name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
Vitesco Technologies Group Aktiengesellschaft,Vitesco Technologies Group Aktiengesellschaft,"Vitesco Technologies Group Aktiengesellschaft engages in the development and production of components and system solutions for drivetrains in hybrid vehicles, electric vehicles, and combustion engines worldwide. It operates through Electrification Technology, Electronic Controls, Sensing & Actuation, and Contract Manufacturing segments. The company offers 48-volt electrification solutions, electric drive systems, and power electronics for hybrid electric and battery- electric vehicles. It also provides electronic controls, sensors, actuators, turbochargers, hydraulic components, and pumps, as well as exhaust-gas solutions. The company was formerly known as Vitesco Technologies EINS Aktiengesellschaft. Vitesco Technologies Group Aktiengesellschaft was incorporated in 2019 and is headquartered in Regensburg, Germany.","Vitesco Technologies Group Aktiengesellschaft engages in the development and production of components and system solutions for drivetrains in hybrid vehicles, electric vehicles, and combustion engines worldwide. It operates through Electrification Technology, Electronic Controls, Sensing & Actuation, and Contract Manufacturing segments. The company offers 48-volt electrification solutions, electric drive systems, and power electronics for hybrid electric and battery- electric vehicles. It also provides electronic controls, sensors, actuators, turbochargers, hydraulic components, and pumps, as well as exhaust-gas solutions. The company was formerly known as Vitesco Technologies EINS Aktiengesellschaft. Vitesco Technologies Group Aktiengesellschaft was incorporated in 2019 and is headquartered in Regensburg, Germany.",2021-09-22,Auto Parts,https://www.vitesco-technologies.com,37998,8348500000,,,49 941 2031 8823,,Siemensstrasse 12,"Regensburg, , DE",93055,https://www.vitesco-technologies.com,https://www.vitesco-technologies.com,https://financialmodelingprep.com/image-stock/VTSCY.png,"#Vitesco Technologies Group Aktiengesellschaft, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
DENSO Corporation,DENSO Corporation,"DENSO Corporation develops, manufactures, and sells automotive parts in Japan, rest of Asia, North America, Europe, and internationally. It offers air-conditioning systems, including heat pump air-conditioning systems, control system and refrigerant products, air-conditioning system heat exchangers, bus air-conditioning systems, automotive freezers, and cooling products, as well as heating, ventilation, and air-conditioning units. The company also provides gasoline, diesel, hybrid, electric vehicle, and fuel cell vehicle power-train systems, as well as motor generators, power control units, and emission control components; and safety and cockpit systems, such as driving environment recognition, vehicle dynamic control, collision safety, visibility support, cockpit information, and information security systems, as well as other products. In addition, it offers automotive service parts and accessories comprising spark plugs, oil and cabin air filters, wiper blades, air filter elements, starters, alternators, compressors, oxygen sensors, fuel pumps, air conditioner service parts, radiators, condensers, Plasmacluster ion generators, air conditioners for busses and construction vehicles, driver status monitors, and truck refrigeration products, as well as refrigerant recovery, recycling, and charging machines; and repair and support products and services. Further, the company provides industrial solutions for factories in automotive parts production; agricultural solutions, including Profarm Controller, a climate control system for greenhouse; and household air conditioning equipment and industrial systems. DENSO Corporation was incorporated in 1949 and is based in Kariya, Japan.","DENSO Corporation develops, manufactures, and sells automotive parts in Japan, rest of Asia, North America, Europe, and internationally. It offers air-conditioning systems, including heat pump air-conditioning systems, control system and refrigerant products, air-conditioning system heat exchangers, bus air-conditioning systems, automotive freezers, and cooling products, as well as heating, ventilation, and air-conditioning units. The company also provides gasoline, diesel, hybrid, electric vehicle, and fuel cell vehicle power-train systems, as well as motor generators, power control units, and emission control components; and safety and cockpit systems, such as driving environment recognition, vehicle dynamic control, collision safety, visibility support, cockpit information, and information security systems, as well as other products. In addition, it offers automotive service parts and accessories comprising spark plugs, oil and cabin air filters, wiper blades, air filter elements, starters, alternators, compressors, oxygen sensors, fuel pumps, air conditioner service parts, radiators, condensers, Plasmacluster ion generators, air conditioners for busses and construction vehicles, driver status monitors, and truck refrigeration products, as well as refrigerant recovery, recycling, and charging machines; and repair and support products and services. Further, the company provides industrial solutions for factories in automotive parts production; agricultural solutions, including Profarm Controller, a climate control system for greenhouse; and household air conditioning equipment and industrial systems. DENSO Corporation was incorporated in 1949 and is based in Kariya, Japan.",2018-11-30,Auto Parts,https://www.denso.com/global/en/,168391,4.94E+12,,,,,"1-1, Showa-cho","Kariya, , JP",448-8661,https://www.denso.com/global/en/,https://www.denso.com/global/en/,https://financialmodelingprep.com/image-stock/DNZOY.png,"#DENSO Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Miller Industries, Inc.","Miller Industries, Inc.","Miller Industries, Inc., together with its subsidiaries, manufactures and sells towing and recovery equipment. The company offers wreckers that are used to recover and tow disabled vehicles and other equipment; and car carriers, which are specialized flatbed vehicles with hydraulic tilt mechanisms, which are used to transport new or disabled vehicles and other equipment. It also provides transport trailers for moving various vehicles for auto auctions, car dealerships, leasing companies, and other related applications. The company markets its products under the Century, Challenger, Holmes, Champion, Eagle, Titan, Jige, Boniface, Vulcan, and Chevron brands. Miller Industries, Inc. sells its products through independent distributors in the United States, Canada, Mexico, Europe, the Pacific Rim, the Middle East, South America, and Africa; and through prime contractors to governmental entities. The company was incorporated in 1990 and is based in Ooltewah, Tennessee.","Miller Industries, Inc., together with its subsidiaries, manufactures and sells towing and recovery equipment. The company offers wreckers that are used to recover and tow disabled vehicles and other equipment; and car carriers, which are specialized flatbed vehicles with hydraulic tilt mechanisms, which are used to transport new or disabled vehicles and other equipment. It also provides transport trailers for moving various vehicles for auto auctions, car dealerships, leasing companies, and other related applications. The company markets its products under the Century, Challenger, Holmes, Champion, Eagle, Titan, Jige, Boniface, Vulcan, and Chevron brands. Miller Industries, Inc. sells its products through independent distributors in the United States, Canada, Mexico, Europe, the Pacific Rim, the Middle East, South America, and Africa; and through prime contractors to governmental entities. The company was incorporated in 1990 and is based in Ooltewah, Tennessee.",1994-08-02,Auto Parts,https://www.millerind.com,1421,717476000,Mr. William Miller,,14232384171,,8503 Hilltop Dr Ste 100,"Ooltewah, TENNESSEE, US",37363,https://www.millerind.com,https://www.millerind.com,https://financialmodelingprep.com/image-stock/MLR.png,"#Miller Industries, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Douglas Dynamics, Inc.","Douglas Dynamics, Inc.","Douglas Dynamics, Inc. operates as a manufacturer and upfitter of commercial work truck attachments and equipment in North America. It operates through two segments, Work Truck Attachments and Work Truck Solutions. The Work Truck Attachments segment manufactures and sells snow and ice control attachments, including snowplows, and sand and salt spreaders for light trucks and heavy duty trucks, as well as various related parts and accessories. The Work Truck Solutions segment primarily manufactures municipal snow and ice control products; provides truck and vehicle upfits where it attaches component pieces of equipment, truck bodies, racking, and storage solutions to a vehicle chassis for use by end users for work related purposes; and manufactures storage solutions for trucks and vans, and cable pulling equipment for trucks. This segment also offers up-fit and storage solutions. It also provides customized turnkey solutions to governmental agencies, such as Departments of Transportation and municipalities. The company sells its products under the BLIZZARD, FISHER, SNOWEX, WESTERN, TURFEX, SWEEPEX, HENDERSON, BRINEXTREME, and DEJA brands. It distributes its products primarily to professional snowplowers who are contracted to remove snow and ice from commercial and residential areas. The company was founded in 1948 and is headquartered in Milwaukee, Wisconsin.","Douglas Dynamics, Inc. operates as a manufacturer and upfitter of commercial work truck attachments and equipment in North America. It operates through two segments, Work Truck Attachments and Work Truck Solutions. The Work Truck Attachments segment manufactures and sells snow and ice control attachments, including snowplows, and sand and salt spreaders for light trucks and heavy duty trucks, as well as various related parts and accessories. The Work Truck Solutions segment primarily manufactures municipal snow and ice control products; provides truck and vehicle upfits where it attaches component pieces of equipment, truck bodies, racking, and storage solutions to a vehicle chassis for use by end users for work related purposes; and manufactures storage solutions for trucks and vans, and cable pulling equipment for trucks. This segment also offers up-fit and storage solutions. It also provides customized turnkey solutions to governmental agencies, such as Departments of Transportation and municipalities. The company sells its products under the BLIZZARD, FISHER, SNOWEX, WESTERN, TURFEX, SWEEPEX, HENDERSON, BRINEXTREME, and DEJA brands. It distributes its products primarily to professional snowplowers who are contracted to remove snow and ice from commercial and residential areas. The company was founded in 1948 and is headquartered in Milwaukee, Wisconsin.",2010-05-05,Auto Parts,https://www.douglasdynamics.com,1436,541453000,Mr. Robert McCormick,,14143623940,,7777 N 73rd St,"Milwaukee, WISCONSIN, US",53223,https://www.douglasdynamics.com,https://www.douglasdynamics.com,https://financialmodelingprep.com/image-stock/PLOW.png,"#Douglas Dynamics, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Superior Industries International, Inc.","Superior Industries International, Inc.","Superior Industries International, Inc. designs, manufactures, and sells aluminum wheels to the original equipment manufacturers and aftermarket distributors in North America and Europe. The company supplies aluminum wheels to the automobile and light truck manufacturers. It offers its products under the ATS, RIAL, ALUTEC, and ANZIO brand names. The company was founded in 1957 and is headquartered in Southfield, Michigan.","Superior Industries International, Inc. designs, manufactures, and sells aluminum wheels to the original equipment manufacturers and aftermarket distributors in North America and Europe. The company supplies aluminum wheels to the automobile and light truck manufacturers. It offers its products under the ATS, RIAL, ALUTEC, and ANZIO brand names. The company was founded in 1957 and is headquartered in Southfield, Michigan.",2009-07-21,Auto Parts,https://www.supind.com,7800,1100760000,Mr. Majdi Abulaban,,12483527300,,26600 Telegraph Rd Ste 400,"Southfield, MICHIGAN, US",48033,https://www.supind.com,https://www.supind.com,https://financialmodelingprep.com/image-stock/SUP.png,"#Superior Industries International, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,"The Goodyear Tire & Rubber Company, together with its subsidiaries, develops, manufactures, distributes, and sells tires and related products and services worldwide. It offers various lines of tires for automobiles, trucks, buses, aircraft, motorcycles, earthmoving equipment, and mining and industrial equipment under the Goodyear, Cooper, Dunlop, Kelly, Debica, Sava, Fulda, Mastercraft, Roadmaster, and various other house brands, as well as under the private-label brands. The company also retreads truck, aviation, and off-the-road tires; manufactures and sells tread rubber and other tire retreading materials; sells chemical and natural rubber products; and provides automotive and commercial truck maintenance and repair services, and miscellaneous other products and services. It operates approximately 1,000 retail outlets, which offer products for retail sale, and provides repair and other services. The company sells its products worldwide through a network of independent dealers, regional distributors, retail outlets, and retailers. The Goodyear Tire & Rubber Company was incorporated in 1898 and is headquartered in Akron, Ohio.","The Goodyear Tire & Rubber Company, together with its subsidiaries, develops, manufactures, distributes, and sells tires and related products and services worldwide. It offers various lines of tires for automobiles, trucks, buses, aircraft, motorcycles, earthmoving equipment, and mining and industrial equipment under the Goodyear, Cooper, Dunlop, Kelly, Debica, Sava, Fulda, Mastercraft, Roadmaster, and various other house brands, as well as under the private-label brands. The company also retreads truck, aviation, and off-the-road tires; manufactures and sells tread rubber and other tire retreading materials; sells chemical and natural rubber products; and provides automotive and commercial truck maintenance and repair services, and miscellaneous other products and services. It operates approximately 1,000 retail outlets, which offer products for retail sale, and provides repair and other services. The company sells its products worldwide through a network of independent dealers, regional distributors, retail outlets, and retailers. The Goodyear Tire & Rubber Company was incorporated in 1898 and is headquartered in Akron, Ohio.",1927-08-05,Auto Parts,https://www.goodyear.com,72000,17478000000,Mr. Richard Kramer,,12167962121,,1144 E Market St,"Akron, OHIO, US",44316-0001,https://www.goodyear.com,https://www.goodyear.com,https://financialmodelingprep.com/image-stock/GT.png,"#The Goodyear Tire & Rubber Company, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Continental Aktiengesellschaft,Continental Aktiengesellschaft,"Continental Aktiengesellschaft, a technology company, offers intelligent solutions for vehicles, machines, traffic, and transportation worldwide. It operates through four sectors: Automotive, Tires, ContiTech, and Contract Manufacturing. The company offers safety, brake, chassis, motion, and motion control systems; solutions for assisted and automated driving; and audio and camera solutions for the vehicle interior, as well as intelligent information and communication technology solutions. It also provides tires for cars, trucks, buses, two-wheel and specialist vehicles, bicycles, and motor vehicles, as well as digital tire monitoring and management systems. In addition, the company develops and manufactures cross-material, environmentally friendly, and intelligent products and systems for automotive, railway engineering, mining, agriculture, and other industries, as well as provides contract manufacturing services. It sells its products through 944 company owned tire outlets and approximately 5,200 franchise locations The company was formerly known as Continental-Caoutchouc- und Gutta-Percha Compagnie. Continental Aktiengesellschaft was founded in 1871 and is headquartered in Hanover, Germany.","Continental Aktiengesellschaft, a technology company, offers intelligent solutions for vehicles, machines, traffic, and transportation worldwide. It operates through four sectors: Automotive, Tires, ContiTech, and Contract Manufacturing. The company offers safety, brake, chassis, motion, and motion control systems; solutions for assisted and automated driving; and audio and camera solutions for the vehicle interior, as well as intelligent information and communication technology solutions. It also provides tires for cars, trucks, buses, two-wheel and specialist vehicles, bicycles, and motor vehicles, as well as digital tire monitoring and management systems. In addition, the company develops and manufactures cross-material, environmentally friendly, and intelligent products and systems for automotive, railway engineering, mining, agriculture, and other industries, as well as provides contract manufacturing services. It sells its products through 944 company owned tire outlets and approximately 5,200 franchise locations The company was formerly known as Continental-Caoutchouc- und Gutta-Percha Compagnie. Continental Aktiengesellschaft was founded in 1871 and is headquartered in Hanover, Germany.",2001-07-11,Auto Parts,https://www.continental.com,192396,33765200000,,,49 511 938 01,,Vahrenwalder Strasse 9,"Hanover, , DE",30165,https://www.continental.com,https://www.continental.com,https://financialmodelingprep.com/image-stock/CTTAY.png,"#Continental Aktiengesellschaft, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Autoliv, Inc.","Autoliv, Inc.","Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, inflator technologies, and battery cut-off switches, as well as anti-whiplash systems and pedestrian protection systems, and connected safety services and solutions for riders of powered two wheelers. The company primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.","Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, inflator technologies, and battery cut-off switches, as well as anti-whiplash systems and pedestrian protection systems, and connected safety services and solutions for riders of powered two wheelers. The company primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",1997-04-28,Auto Parts,https://www.autoliv.com,58709,7447400000,Mr. Mikael Bratt,,46858720600,,"Section B7, Klarabergsviadukten 70","Stockholm, STOCKHOLM, SE",111 64,https://www.autoliv.com,https://www.autoliv.com,https://financialmodelingprep.com/image-stock/ALV.png,"#Autoliv, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Gentex Corporation,Gentex Corporation,"Gentex Corporation designs, develops, manufactures, markets, and supplies digital vision, connected car, dimmable glass, and fire protection products in the United States, Germany, Japan, Mexico, and internationally. It operates through Automotive Products and Other segments. The company offers automotive products, including interior and exterior electrochromic automatic-dimming rearview mirrors, automotive electronics, and non-automatic-dimming rearview mirrors for automotive passenger cars, light trucks, pick-up trucks, sport utility vehicles, and vans for original equipment manufacturers, automotive suppliers, and various aftermarket and accessory customers. It also provides variable dimmable windows to aircraft manufacturers and airline operators. In addition, the company offers photoelectric smoke detectors and alarms, electrochemical carbon monoxide alarms and detectors, audible and visual signaling alarms, and bells and speakers used in fire detection systems in office buildings, hotels, and other commercial and residential buildings, as well as researches and develops nanofiber chemical sensing products. The company sells its fire protection products directly, as well as through sales managers and manufacturer representative organizations to fire protection and security product distributors, electrical wholesale houses, and original equipment manufacturers of fire protection systems. Gentex Corporation was incorporated in 1974 and is headquartered in Zeeland, Michigan.","Gentex Corporation designs, develops, manufactures, markets, and supplies digital vision, connected car, dimmable glass, and fire protection products in the United States, Germany, Japan, Mexico, and internationally. It operates through Automotive Products and Other segments. The company offers automotive products, including interior and exterior electrochromic automatic-dimming rearview mirrors, automotive electronics, and non-automatic-dimming rearview mirrors for automotive passenger cars, light trucks, pick-up trucks, sport utility vehicles, and vans for original equipment manufacturers, automotive suppliers, and various aftermarket and accessory customers. It also provides variable dimmable windows to aircraft manufacturers and airline operators. In addition, the company offers photoelectric smoke detectors and alarms, electrochemical carbon monoxide alarms and detectors, audible and visual signaling alarms, and bells and speakers used in fire detection systems in office buildings, hotels, and other commercial and residential buildings, as well as researches and develops nanofiber chemical sensing products. The company sells its fire protection products directly, as well as through sales managers and manufacturer representative organizations to fire protection and security product distributors, electrical wholesale houses, and original equipment manufacturers of fire protection systems. Gentex Corporation was incorporated in 1974 and is headquartered in Zeeland, Michigan.",1981-12-08,Auto Parts,https://www.gentex.com,4998,1731169929,Mr. Steven Downing,,16167721800,,600 N CENTENNIAL ST,"Zeeland, MICHIGAN, US",49464,https://www.gentex.com,https://www.gentex.com,https://financialmodelingprep.com/image-stock/GNTX.png,"#Gentex Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Garrett Motion Inc.,Garrett Motion Inc.,"Garrett Motion Inc., together with its subsidiaries, designs, manufactures, and sells turbocharger and electric-boosting technologies for light and commercial vehicle original equipment manufacturers worldwide. The company offers light vehicle gasoline and diesel, and commercial vehicle turbochargers; and provides automotive software solutions. It offers its products in the aftermarket through distributors. Garrett Motion Inc. was incorporated in 2018 and is headquartered in Rolle, Switzerland.","Garrett Motion Inc., together with its subsidiaries, designs, manufactures, and sells turbocharger and electric-boosting technologies for light and commercial vehicle original equipment manufacturers worldwide. The company offers light vehicle gasoline and diesel, and commercial vehicle turbochargers; and provides automotive software solutions. It offers its products in the aftermarket through distributors. Garrett Motion Inc. was incorporated in 2018 and is headquartered in Rolle, Switzerland.",2021-05-28,Auto Parts,https://www.garrettmotion.com,6500,3633000000,,,41 21 695 30 00,,La Pièce 16,"Rolle, , CH",1180,https://www.garrettmotion.com,https://www.garrettmotion.com,https://financialmodelingprep.com/image-stock/GTXAP.png,"#Garrett Motion Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
LKQ Corporation,LKQ Corporation,"LKQ Corporation distributes replacement parts, components, and systems used in the repair and maintenance of vehicles. It operates through three segments: North America, Europe, and Specialty. The company distributes bumper covers, automotive body panels, and lights, as well as automotive glass products, such as windshields; salvage products, including mechanical and collision parts comprising engines; transmissions; door assemblies; sheet metal products, such as trunk lids, fenders, and hoods; lights and bumper assemblies; scrap metal and other materials to metals recyclers; and brake pads, discs and sensors, clutches, steering and suspension products, filters, and oil and automotive fluids, as well as electrical products, including spark plugs and batteries. In addition, the company distributes recreational vehicle appliances and air conditioners, towing hitches, truck bed covers, vehicle protection products, cargo management products, wheels, tires, and suspension products. It serves collision and mechanical repair shops, and new and used car dealerships, as well as retail customers. The company operates in the United States, Canada, the United Kingdom, Germany, Belgium, the Netherlands, Luxembourg, Italy, the Czech Republic, Austria, Poland, Slovakia, Taiwan, and other European countries. LKQ Corporation was incorporated in 1998 and is headquartered in Chicago, Illinois.","LKQ Corporation distributes replacement parts, components, and systems used in the repair and maintenance of vehicles. It operates through three segments: North America, Europe, and Specialty. The company distributes bumper covers, automotive body panels, and lights, as well as automotive glass products, such as windshields; salvage products, including mechanical and collision parts comprising engines; transmissions; door assemblies; sheet metal products, such as trunk lids, fenders, and hoods; lights and bumper assemblies; scrap metal and other materials to metals recyclers; and brake pads, discs and sensors, clutches, steering and suspension products, filters, and oil and automotive fluids, as well as electrical products, including spark plugs and batteries. In addition, the company distributes recreational vehicle appliances and air conditioners, towing hitches, truck bed covers, vehicle protection products, cargo management products, wheels, tires, and suspension products. It serves collision and mechanical repair shops, and new and used car dealerships, as well as retail customers. The company operates in the United States, Canada, the United Kingdom, Germany, Belgium, the Netherlands, Luxembourg, Italy, the Czech Republic, Austria, Poland, Slovakia, Taiwan, and other European countries. LKQ Corporation was incorporated in 1998 and is headquartered in Chicago, Illinois.",2003-10-03,Auto Parts,https://www.lkqcorp.com,46000,13088504000,Mr. Dominick Zarcone,,13126211950,,500 W Madison St Ste 2800,"Chicago, ILLINOIS, US",60661,https://www.lkqcorp.com,https://www.lkqcorp.com,https://financialmodelingprep.com/image-stock/LKQ.png,"#LKQ Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Meritor, Inc.","Meritor, Inc.","Meritor, Inc. designs, develops, manufactures, markets, distributes, sells, services, and supports integrated systems, modules, and components in North America, South America, Europe, and the Asia Pacific. It operates through two segments, Commercial Truck, and Aftermarket and Industrial. The company offers axles, including front steer and rear drive axles for medium- and heavy-duty commercial vehicles; heavy-duty trailer axles; suspension modules and brake products comprising drum and disc brakes; universal joints and driveline components; trailer air suspension systems and products; transfer cases and drivelines; and advanced suspension modules for use in light-, medium- and heavy-duty military tactical wheeled vehicles. It also provides air brakes, such as cam drum, wedge drum, and air disc brakes, as well as wheel-end components, including hubs, drums, and rotors to medium- and heavy-duty commercial vehicle manufacturers; and electric drive systems comprising electric motors and inverters, power electronics, battery pack, electrified accessories, and related software and controls for terminal tractors and medium and heavy-duty trucks and buses. In addition, the company sells other complementary products, including third-party and private label items, which include brake shoes and friction materials; automatic slack adjusters; yokes and shafts; wheel-end hubs and drums; ABS and stability control systems; shock absorbers and air springs; and air brakes. Meritor, Inc. sells its products under the Meritor, Euclid, Trucktechnic, US Gear, AxleTech, and Mach brands primarily to original equipment manufacturers, their parts marketing operations, and their dealers, as well as other independent distributors and service garages in the aftermarket industry. The company was formerly known as ArvinMeritor, Inc. and changed its name to Meritor, Inc. in March 2011. Meritor, Inc. was founded in 1909 and is headquartered in Troy, Michigan.","Meritor, Inc. designs, develops, manufactures, markets, distributes, sells, services, and supports integrated systems, modules, and components in North America, South America, Europe, and the Asia Pacific. It operates through two segments, Commercial Truck, and Aftermarket and Industrial. The company offers axles, including front steer and rear drive axles for medium- and heavy-duty commercial vehicles; heavy-duty trailer axles; suspension modules and brake products comprising drum and disc brakes; universal joints and driveline components; trailer air suspension systems and products; transfer cases and drivelines; and advanced suspension modules for use in light-, medium- and heavy-duty military tactical wheeled vehicles. It also provides air brakes, such as cam drum, wedge drum, and air disc brakes, as well as wheel-end components, including hubs, drums, and rotors to medium- and heavy-duty commercial vehicle manufacturers; and electric drive systems comprising electric motors and inverters, power electronics, battery pack, electrified accessories, and related software and controls for terminal tractors and medium and heavy-duty trucks and buses. In addition, the company sells other complementary products, including third-party and private label items, which include brake shoes and friction materials; automatic slack adjusters; yokes and shafts; wheel-end hubs and drums; ABS and stability control systems; shock absorbers and air springs; and air brakes. Meritor, Inc. sells its products under the Meritor, Euclid, Trucktechnic, US Gear, AxleTech, and Mach brands primarily to original equipment manufacturers, their parts marketing operations, and their dealers, as well as other independent distributors and service garages in the aftermarket industry. The company was formerly known as ArvinMeritor, Inc. and changed its name to Meritor, Inc. in March 2011. Meritor, Inc. was founded in 1909 and is headquartered in Troy, Michigan.",1997-09-15,Auto Parts,https://www.meritor.com,9600,3833000000,Mr. Jeffrey Craig,,12484351000,,2135 W Maple Rd,"Troy, MICHIGAN, US",48084-7186,https://www.meritor.com,https://www.meritor.com,https://financialmodelingprep.com/image-stock/MTOR.png,"#Meritor, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Strattec Security Corporation,Strattec Security Corporation,"Strattec Security Corporation designs, develops, manufactures, and markets automotive access control products under the VAST Automotive Group brand primarily in North America. The company offers mechanical and electronically enhanced locks and keys, passive entry passive start systems, steering column and instrument panel ignition lock housings, latches, power sliding side door systems, power tailgate and lift gate systems, power deck lid systems, door handles, and related products. It also provides full service and aftermarket support services for its products. The company markets its products to automotive and light truck original equipment manufacturers, as well as other transportation-related manufacturers; and through wholesale distributors, other marketers, and users of component parts, as well as certain products to non-automotive commercial customers. It also exports its products to Europe, South America, Korea, China, and India. Strattec Security Corporation was founded in 1908 and is headquartered in Milwaukee, Wisconsin.","Strattec Security Corporation designs, develops, manufactures, and markets automotive access control products under the VAST Automotive Group brand primarily in North America. The company offers mechanical and electronically enhanced locks and keys, passive entry passive start systems, steering column and instrument panel ignition lock housings, latches, power sliding side door systems, power tailgate and lift gate systems, power deck lid systems, door handles, and related products. It also provides full service and aftermarket support services for its products. The company markets its products to automotive and light truck original equipment manufacturers, as well as other transportation-related manufacturers; and through wholesale distributors, other marketers, and users of component parts, as well as certain products to non-automotive commercial customers. It also exports its products to Europe, South America, Korea, China, and India. Strattec Security Corporation was founded in 1908 and is headquartered in Milwaukee, Wisconsin.",1995-02-23,Auto Parts,https://www.strattec.com,3752,485295000,Mr. Frank Krejci,,14142473333,,3333 W Good Hope Rd,"Milwaukee, WISCONSIN, US",53209,https://www.strattec.com,https://www.strattec.com,https://financialmodelingprep.com/image-stock/STRT.png,"#Strattec Security Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
JTEKT Corporation,JTEKT Corporation,"JTEKT Corporation manufactures and sells steering systems, driveline components, bearings, machine tools, electronic control devices, home accessory equipment, etc. It offers steering systems, such as electric power steering, hydraulic power steering, and unit components; driveline components, including driveshaft, propeller shaft, couplings, and Torsen limited slip differential products; wheels, such as hub units; engine and peripheral parts that include damper pulley; and transmission products, such as electric pump for idle-stop system and solenoid valves. The company also provides sensor systems comprising peripherals for social infrastructures; products for the research and development field, including semiconductor transducers, load cells, DC amplifiers, and pressure transducer for welding guns and indicators; medical equipment, such as pressure sensors for dialyzers; and heat-resistant lithium-ion capacitors. In addition, it offers ball and roller bearings; and oil seals. Further, the company provides machine tools, such as grinders, machining and gear skiving centers, cutting machines, and others. It offers its products under the JTEKT, KOYO, and TOYODA brands. The company operates in Japan, Europe, North America, the rest of Asia, Oceania, South America, and internationally. JTEKT Corporation was founded in 1921 and is headquartered in Aichi, Japan.","JTEKT Corporation manufactures and sells steering systems, driveline components, bearings, machine tools, electronic control devices, home accessory equipment, etc. It offers steering systems, such as electric power steering, hydraulic power steering, and unit components; driveline components, including driveshaft, propeller shaft, couplings, and Torsen limited slip differential products; wheels, such as hub units; engine and peripheral parts that include damper pulley; and transmission products, such as electric pump for idle-stop system and solenoid valves. The company also provides sensor systems comprising peripherals for social infrastructures; products for the research and development field, including semiconductor transducers, load cells, DC amplifiers, and pressure transducer for welding guns and indicators; medical equipment, such as pressure sensors for dialyzers; and heat-resistant lithium-ion capacitors. In addition, it offers ball and roller bearings; and oil seals. Further, the company provides machine tools, such as grinders, machining and gear skiving centers, cutting machines, and others. It offers its products under the JTEKT, KOYO, and TOYODA brands. The company operates in Japan, Europe, North America, the rest of Asia, Oceania, South America, and internationally. JTEKT Corporation was founded in 1921 and is headquartered in Aichi, Japan.",2012-01-17,Auto Parts,https://www.jtekt.co.jp,48332,1.25E+12,,,81 5 6625 7211,,"1-1, Asahi-machi","Aichi, , JP",542-8502,https://www.jtekt.co.jp,https://www.jtekt.co.jp,https://financialmodelingprep.com/image-stock/JTEKF.png,"#JTEKT Corporation, #Auto Parts, #Consumer Cyclical",10,1,FALSE,2022-05-23 17:49,2022-05-23 17:49
